"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9377","User registeration with valid credentials","chromium","2026-08-16","passed","2026-08-16","","AccountRegistration.spec.ts","",""
"","7007","Login with valid credentials","chromium","2026-08-12","passed","2026-08-12","","Login.spec.ts","",""
"","9032","Login with valid credentials - Config File","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","64927","E2E: Verify user can register and checkout successfully","chromium","2026-08-16","passed","2026-08-16","","e2e.spec.ts","",""
"","13836","Login test with CSV data: Invalid Login with incorrect email","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","15267","Login test with JSON data: Valid login","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","16273","Login test with CSV data: Valid login","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","11984","Login test with JSON data: Invalid Login with incorrect email","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","14657","Login test with JSON data: Invalid Login with incorrect password","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","8451","Login test with CSV data: Invalid Login with incorrect password","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","8129","Login test with CSV data: Invalid Login with incorrect email format","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
"","13933","Login test with JSON data: Invalid Login with incorrect email format","chromium","2026-08-16","passed","2026-08-16","","Login.spec.ts","",""
